"Rk","Player","X2015.16","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
5,"Dwight Howard",22359364,30,"HOU","NBA","C",71,71,2280,372,600,0.62,0,6,0,372,594,0.626,0.62,232,474,0.489,238,597,835,98,69,113,166,219,976
11,"Brook Lopez",2e+07,27,"BRK","NBA","C",73,73,2457,591,1157,0.511,2,14,0.143,589,1143,0.515,0.512,317,403,0.787,204,369,573,147,58,124,175,215,1501
12,"Marc Gasol",19700000,31,"MEM","NBA","C",52,52,1791,328,707,0.464,2,3,0.667,326,704,0.463,0.465,203,245,0.829,58,304,362,196,50,70,118,141,861
14,"DeAndre Jordan",19500000,27,"LAC","NBA","C",77,77,2598,357,508,0.703,0,1,0,357,507,0.704,0.703,266,619,0.43,267,792,1059,90,51,177,107,207,980
21,"Enes Kanter",16400000,23,"OKC","NBA","C",82,1,1721,414,719,0.576,10,21,0.476,404,698,0.579,0.583,200,251,0.797,249,415,664,33,26,33,115,166,1038
22,"Greg Monroe",16400000,25,"MIL","NBA","C",79,67,2314,491,941,0.522,0,1,0,491,940,0.522,0.522,228,308,0.74,218,478,696,178,72,67,129,163,1210
28,"Roy Hibbert",15500000,29,"LAL","NBA","C",81,81,1878,182,411,0.443,0,2,0,182,409,0.445,0.443,117,145,0.807,132,266,398,95,32,110,76,252,481
37,"DeMarcus Cousins",14728844,25,"SAC","NBA","C",65,65,2246,601,1332,0.451,70,210,0.333,531,1122,0.473,0.477,476,663,0.718,158,589,747,214,101,92,249,236,1748
42,"Al Jefferson",13833333,31,"CHO","NBA","C",47,18,1096,245,505,0.485,0,0,,245,505,0.485,0.485,72,111,0.649,57,244,301,70,30,41,34,117,562
45,"Joakim Noah",13400000,30,"CHI","NBA","C",29,2,635,51,133,0.383,0,1,0,51,132,0.386,0.383,22,45,0.489,87,168,255,110,18,29,52,77,124
48,"Tyson Chandler",1.3e+07,33,"PHO","NBA","C",66,60,1618,183,314,0.583,0,1,0,183,313,0.585,0.583,106,171,0.62,175,401,576,64,36,44,93,145,472
49,"Robin Lopez",1.3e+07,27,"NYK","NBA","C",82,82,2219,357,662,0.539,0,1,0,357,661,0.54,0.539,128,161,0.795,268,334,602,114,16,129,133,182,842
55,"Nikola Pekovic",12100000,30,"MIN","NBA","C",12,3,156,19,50,0.38,0,0,,19,50,0.38,0.38,16,20,0.8,7,14,21,11,1,0,9,22,54
58,"JaVale McGee",1.2e+07,28,"DAL","NBA","C",34,2,370,77,134,0.575,0,1,0,77,133,0.579,0.575,18,36,0.5,53,80,133,3,5,26,21,49,172
59,"Andrew Bogut",1.2e+07,31,"GSW","NBA","C",70,66,1451,175,279,0.627,1,1,1,174,278,0.626,0.629,24,50,0.48,121,371,492,162,32,114,83,221,375
62,"Al Horford",1.2e+07,29,"ATL","NBA","C",82,82,2631,529,1048,0.505,88,256,0.344,441,792,0.557,0.547,103,129,0.798,148,448,596,263,68,122,107,163,1249
66,"Nikola Vucevic",11250000,25,"ORL","NBA","C",65,60,2037,533,1046,0.51,2,9,0.222,531,1037,0.512,0.511,113,150,0.753,173,402,575,179,53,70,123,173,1181
69,"Marcin Gortat",11217391,31,"WAS","NBA","C",75,74,2256,433,764,0.567,0,1,0,433,763,0.567,0.567,146,207,0.705,222,519,741,106,47,96,121,193,1012
71,"Omer Asik",1.1e+07,29,"NOP","NBA","C",68,64,1178,104,195,0.533,0,0,,104,195,0.533,0.533,61,112,0.545,120,294,414,26,21,23,60,124,269
79,"Anderson Varejao",9638554,33,"GSW","NBA","C",22,0,186,21,48,0.438,0,0,,21,48,0.438,0.438,16,29,0.552,13,37,50,15,5,5,6,35,58
90,"Tiago Splitter",8500000,31,"ATL","NBA","C",36,2,579,81,155,0.523,0,2,0,81,153,0.529,0.523,39,48,0.813,45,75,120,30,20,12,24,71,201
101,"Channing Frye",7807579,32,"CLE","NBA","C",26,3,446,71,161,0.441,43,114,0.377,28,47,0.596,0.575,11,14,0.786,12,81,93,26,8,8,13,56,196
103,"Kosta Koufos",7500000,26,"SAC","NBA","C",78,14,1482,236,444,0.532,0,0,,236,444,0.532,0.532,57,104,0.548,169,254,423,33,40,70,48,185,529
