"Rk","Player","X2015.16","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
7,"Chris Paul",21468696,30,"LAC","NBA","PG",74,74,2420,515,1114,0.462,122,329,0.371,393,785,0.501,0.517,294,328,0.896,39,271,310,738,152,13,194,185,1446
9,"Derrick Rose",20093063,27,"CHI","NBA","PG",66,66,2097,447,1048,0.427,44,150,0.293,403,898,0.449,0.448,142,179,0.793,46,179,225,311,44,14,175,84,1080
19,"Russell Westbrook",16744218,27,"OKC","NBA","PG",80,80,2749,656,1444,0.454,101,341,0.296,555,1103,0.503,0.489,465,573,0.812,145,481,626,834,163,20,342,200,1878
25,"John Wall",15851950,25,"WAS","NBA","PG",77,77,2784,572,1349,0.424,115,328,0.351,457,1021,0.448,0.467,272,344,0.791,42,337,379,789,145,59,318,159,1531
35,"Goran Dragic",14780000,29,"MIA","NBA","PG",72,72,2363,417,875,0.477,64,205,0.312,353,670,0.527,0.513,120,165,0.727,54,223,277,419,71,17,185,188,1018
36,"Kyrie Irving",14746000,23,"CLE","NBA","PG",53,53,1667,394,879,0.448,84,261,0.322,310,618,0.502,0.496,169,191,0.885,44,113,157,249,56,18,124,107,1041
40,"Reggie Jackson",1.4e+07,25,"DET","NBA","PG",79,79,2424,540,1244,0.434,118,334,0.353,422,910,0.464,0.482,291,337,0.864,58,195,253,492,59,11,223,187,1489
44,"Tony Parker",13437500,33,"SAS","NBA","PG",72,72,1980,350,710,0.493,27,65,0.415,323,645,0.501,0.512,130,171,0.76,17,159,176,379,54,11,131,114,857
46,"Eric Bledsoe",13086957,26,"PHO","NBA","PG",31,31,1059,223,492,0.453,48,129,0.372,175,363,0.482,0.502,138,172,0.802,18,107,125,190,63,19,110,75,632
50,"Ty Lawson",12404495,28,"IND","NBA","PG",13,1,235,28,67,0.418,5,14,0.357,23,53,0.434,0.455,3,6,0.5,6,25,31,57,10,1,13,16,64
52,"Ricky Rubio",12365000,25,"MIN","NBA","PG",76,76,2323,219,586,0.374,62,190,0.326,157,396,0.396,0.427,266,314,0.847,40,286,326,658,162,10,193,201,766
56,"Kyle Lowry",1.2e+07,29,"TOR","NBA","PG",77,77,2851,512,1198,0.427,212,547,0.388,300,651,0.461,0.516,398,491,0.811,55,310,365,494,158,34,225,211,1634
60,"Kemba Walker",1.2e+07,25,"CHO","NBA","PG",81,81,2885,568,1331,0.427,182,490,0.371,386,841,0.459,0.495,371,438,0.847,56,301,357,421,127,39,171,111,1689
65,"Stephen Curry",11370786,27,"GSW","NBA","PG",79,79,2700,805,1598,0.504,402,886,0.454,403,712,0.566,0.63,363,400,0.908,68,362,430,527,169,15,262,161,2375
72,"Jrue Holiday",10595507,25,"NOP","NBA","PG",65,23,1831,410,935,0.439,87,259,0.336,323,676,0.478,0.485,182,216,0.843,27,168,195,391,88,22,167,148,1089
80,"Mike Conley",9588426,28,"MEM","NBA","PG",56,56,1760,294,696,0.422,78,215,0.363,216,481,0.449,0.478,191,229,0.834,26,138,164,342,67,16,84,100,857
82,"Rajon Rondo",9500000,29,"SAC","NBA","PG",72,72,2537,355,782,0.454,62,170,0.365,293,612,0.479,0.494,87,150,0.58,77,358,435,839,141,10,278,175,859
91,"Brandon Jennings",8344497,26,"ORL","NBA","PG",25,6,452,59,161,0.366,27,78,0.346,32,83,0.386,0.45,30,40,0.75,11,39,50,100,18,5,35,33,175
98,"George Hill",8e+06,29,"IND","NBA","PG",74,73,2524,326,740,0.441,128,315,0.406,198,425,0.466,0.527,114,150,0.76,58,240,298,259,83,17,101,149,894
99,"Jeff Teague",8e+06,27,"ATL","NBA","PG",79,78,2255,434,988,0.439,110,275,0.4,324,713,0.454,0.495,261,312,0.837,33,181,214,470,97,24,218,167,1239
106,"Jose Calderon",7402812,34,"NYK","NBA","PG",72,72,2024,209,455,0.459,84,203,0.414,125,252,0.496,0.552,42,48,0.875,22,207,229,299,63,7,87,135,544
114,"Isaiah Thomas",6912869,26,"BOS","NBA","PG",82,79,2644,591,1382,0.428,167,465,0.359,424,917,0.462,0.488,474,544,0.871,46,197,243,509,91,9,220,167,1823
116,"Greivis Vasquez",6600000,29,"MIL","NBA","PG",23,0,460,45,138,0.326,18,73,0.247,27,65,0.415,0.391,22,26,0.846,5,42,47,91,10,0,40,42,130
118,"Rodney Stuckey",6500000,29,"IND","NBA","PG",58,1,1275,183,443,0.413,20,83,0.241,163,360,0.453,0.436,131,158,0.829,19,137,156,142,43,8,76,77,517
119,"Patrick Beverley",6500000,27,"HOU","NBA","PG",71,63,2041,258,594,0.434,124,310,0.4,134,284,0.472,0.539,60,88,0.682,73,177,250,239,94,26,91,234,700
124,"Jarrett Jack",6300000,32,"BRK","NBA","PG",32,32,1027,140,358,0.391,31,102,0.304,109,256,0.426,0.434,100,112,0.893,9,127,136,236,34,7,94,77,411
138,"Shaun Livingston",5543725,30,"GSW","NBA","PG",78,3,1520,203,379,0.536,2,12,0.167,201,367,0.548,0.538,80,93,0.86,42,127,169,237,57,27,78,140,488
144,"Deron Williams",5500000,31,"DAL","NBA","PG",65,63,2106,321,775,0.414,97,282,0.344,224,493,0.454,0.477,179,206,0.869,19,171,190,378,61,14,150,155,918
145,"Deron Williams",5500000,31,"DAL","NBA","PG",65,63,2106,321,775,0.414,97,282,0.344,224,493,0.454,0.477,179,206,0.869,19,171,190,378,61,14,150,155,918
153,"D'Angelo Russell",5103120,19,"LAL","NBA","PG",80,48,2259,392,956,0.41,130,370,0.351,262,586,0.447,0.478,140,190,0.737,47,227,274,266,93,13,196,142,1054
154,"Darren Collison",5013559,28,"SAC","NBA","PG",74,15,2219,377,776,0.486,87,217,0.401,290,559,0.519,0.542,194,226,0.858,28,141,169,318,76,4,130,142,1035
157,"C.J. Watson",5e+06,31,"ORL","NBA","PG",33,2,656,47,137,0.343,14,48,0.292,33,89,0.371,0.394,34,39,0.872,10,56,66,88,19,5,25,49,142
172,"Jameer Nelson",4500000,33,"DEN","NBA","PG",39,15,1036,113,307,0.368,43,144,0.299,70,163,0.429,0.438,30,35,0.857,19,96,115,190,25,5,66,100,299
177,"Mario Chalmers",4300000,29,"MEM","NBA","PG",55,7,1253,172,412,0.417,45,138,0.326,127,274,0.464,0.472,206,249,0.827,23,120,143,211,80,12,102,165,595
179,"Damian Lillard",4236287,25,"POR","NBA","PG",75,75,2676,618,1474,0.419,229,610,0.375,389,864,0.45,0.497,414,464,0.892,45,257,302,512,65,28,242,165,1879
184,"Devin Harris",4053000,32,"DAL","NBA","PG",64,0,1280,167,374,0.447,52,158,0.329,115,216,0.532,0.516,101,140,0.721,18,120,138,118,60,13,66,124,487
189,"J.J. Barea",4e+06,31,"DAL","NBA","PG",74,16,1667,317,711,0.446,100,260,0.385,217,451,0.481,0.516,74,96,0.771,26,126,152,302,26,2,113,110,808
191,"Raymond Felton",3950313,31,"DAL","NBA","PG",80,31,2192,277,682,0.406,60,213,0.282,217,469,0.463,0.45,149,176,0.847,36,222,258,284,68,15,121,141,763
195,"Dante Exum",3777720,19,"UTA","NBA","PG",82,41,1817,145,416,0.349,83,264,0.314,62,152,0.408,0.448,20,32,0.625,27,104,131,198,41,14,118,147,393
202,"Patrick Mills",3578947,27,"SAS","NBA","PG",81,3,1662,260,612,0.425,123,320,0.384,137,292,0.469,0.525,47,58,0.81,27,131,158,226,59,6,76,102,690
206,"Marcus Smart",3431040,21,"BOS","NBA","PG",61,10,1667,184,529,0.348,61,241,0.253,123,288,0.427,0.405,129,166,0.777,76,179,255,185,91,18,80,183,558
221,"Emmanuel Mudiay",3102240,19,"DEN","NBA","PG",68,66,2068,329,905,0.364,74,232,0.319,255,673,0.379,0.404,140,209,0.67,32,200,232,372,65,35,217,141,872
224,"Norris Cole",3036927,27,"NOP","NBA","PG",45,23,1198,196,484,0.405,33,102,0.324,163,382,0.427,0.439,52,65,0.8,10,141,151,167,37,5,75,102,477
235,"D.J. Augustin",3e+06,28,"DEN","NBA","PG",28,0,659,102,229,0.445,44,107,0.411,58,122,0.475,0.541,77,94,0.819,3,49,52,132,25,2,54,44,325
239,"Kirk Hinrich",2870000,35,"ATL","NBA","PG",11,0,76,2,11,0.182,1,6,0.167,1,5,0.2,0.227,0,0,,1,11,12,14,2,1,3,1,5
242,"Brian Roberts",2854940,30,"POR","NBA","PG",21,0,137,23,50,0.46,6,15,0.4,17,35,0.486,0.52,8,10,0.8,2,10,12,16,3,1,7,12,60
249,"Trey Burke",2658240,23,"UTA","NBA","PG",64,0,1366,262,634,0.413,88,256,0.344,174,378,0.46,0.483,67,82,0.817,18,94,112,148,35,6,80,86,679
254,"Elfrid Payton",2505720,21,"ORL","NBA","PG",73,69,2145,318,730,0.436,30,92,0.326,288,638,0.451,0.456,112,190,0.589,77,184,261,468,89,20,177,159,778
260,"Shelvin Mack",2433333,25,"UTA","NBA","PG",28,27,879,142,320,0.444,35,98,0.357,107,222,0.482,0.498,36,49,0.735,11,95,106,149,26,3,81,65,355
261,"Michael Carter-Williams",2399040,24,"MIL","NBA","PG",54,37,1649,251,555,0.452,15,55,0.273,236,500,0.472,0.466,106,162,0.654,48,228,276,281,80,41,153,162,623
271,"Tony Wroten",2179354,22,"PHI","NBA","PG",8,3,144,22,65,0.338,3,17,0.176,19,48,0.396,0.362,20,37,0.541,2,19,21,20,3,0,29,11,67
272,"Ramon Sessions",2170465,29,"WAS","NBA","PG",82,5,1667,280,592,0.473,36,111,0.324,244,481,0.507,0.503,214,283,0.756,25,178,203,239,46,5,115,102,810
273,"Beno Udrih",2170465,33,"MIA","NBA","PG",36,5,587,66,152,0.434,11,33,0.333,55,119,0.462,0.47,15,17,0.882,6,57,63,90,11,0,42,40,158
275,"Steve Blake",2170465,35,"DET","NBA","PG",58,2,986,93,240,0.388,52,151,0.344,41,89,0.461,0.496,16,20,0.8,9,80,89,200,24,5,81,70,254
279,"Kendall Marshall",2144722,24,"PHI","NBA","PG",30,6,400,43,118,0.364,16,49,0.327,27,69,0.391,0.432,9,13,0.692,2,26,28,73,16,2,43,30,111
284,"Mo Williams",2100000,33,"CLE","NBA","PG",41,14,748,132,302,0.437,36,102,0.353,96,200,0.48,0.497,38,42,0.905,6,66,72,98,14,5,57,60,338
290,"Cameron Payne",2021520,21,"OKC","NBA","PG",57,1,698,114,278,0.41,36,111,0.324,78,167,0.467,0.475,19,24,0.792,9,76,85,108,36,6,44,80,283
293,"Aaron Brooks",2e+06,31,"CHI","NBA","PG",69,0,1108,188,469,0.401,66,185,0.357,122,284,0.43,0.471,49,64,0.766,21,80,101,180,30,10,82,132,491
295,"Giannis Antetokounmpo",1953960,21,"MIL","NBA","PG",80,79,2823,513,1013,0.506,28,109,0.257,485,904,0.537,0.52,296,409,0.724,113,499,612,345,94,113,208,258,1350
300,"Terry Rozier",1824360,21,"BOS","NBA","PG",39,0,311,29,106,0.274,6,27,0.222,23,79,0.291,0.302,8,10,0.8,24,39,63,37,6,1,19,23,72
301,"Dennis Schroder",1763400,22,"ATL","NBA","PG",80,6,1621,329,781,0.421,77,239,0.322,252,542,0.465,0.471,144,182,0.791,25,179,204,349,70,9,183,138,879
306,"Tyler Ennis",1662360,21,"MIL","NBA","PG",46,7,654,84,187,0.449,13,39,0.333,71,148,0.48,0.484,25,34,0.735,13,62,75,95,25,1,46,64,206
312,"Jerian Grant",1572360,23,"NYK","NBA","PG",76,6,1265,154,391,0.394,22,100,0.22,132,291,0.454,0.422,96,123,0.78,23,120,143,177,50,10,87,97,426
315,"Delon Wright",1509360,23,"TOR","NBA","PG",27,1,229,36,80,0.45,5,13,0.385,31,67,0.463,0.481,26,35,0.743,8,29,37,31,8,3,16,7,103
317,"Shane Larkin",1500000,23,"BRK","NBA","PG",78,17,1751,222,502,0.442,39,108,0.361,183,394,0.464,0.481,83,107,0.776,28,152,180,342,95,12,146,121,566
322,"Ronnie Price",1499187,32,"PHO","NBA","PG",62,18,1211,116,302,0.384,68,196,0.347,48,106,0.453,0.497,31,41,0.756,25,74,99,147,74,13,70,161,331
323,"Andre Miller",1499187,39,"SAS","NBA","PG",13,4,181,23,48,0.479,1,4,0.25,22,44,0.5,0.49,9,13,0.692,6,21,27,29,7,0,12,14,56
351,"Shabazz Napier",1294440,24,"ORL","NBA","PG",55,0,600,68,201,0.338,34,104,0.327,34,97,0.351,0.423,33,45,0.733,9,46,55,97,23,1,46,38,203
352,"Tyus Jones",1282080,19,"MIN","NBA","PG",37,0,573,56,156,0.359,16,53,0.302,40,103,0.388,0.41,28,39,0.718,7,40,47,108,31,3,33,33,156
367,"Toney Douglas",1164858,29,"NOP","NBA","PG",61,18,1262,183,445,0.411,81,203,0.399,102,242,0.421,0.502,84,99,0.848,25,118,143,157,70,5,64,131,531
368,"Archie Goodwin",1160160,21,"PHO","NBA","PG",57,13,1114,176,421,0.418,23,98,0.235,153,323,0.474,0.445,130,193,0.674,27,115,142,118,27,13,100,84,505
373,"Matthew Dellavedova",1147280,25,"CLE","NBA","PG",76,14,1867,207,511,0.405,98,239,0.41,109,272,0.401,0.501,57,66,0.864,33,129,162,337,44,9,116,178,569
379,"Ish Smith",1100602,27,"PHI","NBA","PG",50,50,1622,299,739,0.405,46,137,0.336,253,602,0.42,0.436,89,133,0.669,29,184,213,348,64,18,130,95,733
390,"Donald Sloan",1015421,28,"BRK","NBA","PG",61,33,1318,154,350,0.44,38,99,0.384,116,251,0.462,0.494,78,104,0.75,17,156,173,268,32,4,80,73,424
391,"Raul Neto",1e+06,23,"UTA","NBA","PG",81,53,1499,180,418,0.431,64,162,0.395,116,256,0.453,0.507,52,70,0.743,17,103,120,174,62,2,109,122,476
393,"Joseph Young",1e+06,23,"IND","NBA","PG",41,0,384,62,169,0.367,10,46,0.217,52,123,0.423,0.396,20,25,0.8,6,44,50,65,15,0,33,30,154
402,"Pablo Prigioni",981348,38,"LAC","NBA","PG",59,3,823,55,147,0.374,28,95,0.295,27,52,0.519,0.469,7,8,0.875,38,76,114,130,53,1,49,82,145
410,"Ray McCallum",947276,24,"MEM","NBA","PG",10,3,219,28,79,0.354,10,26,0.385,18,53,0.34,0.418,3,5,0.6,2,14,16,27,7,3,13,15,69
411,"Seth Curry",947276,25,"SAC","NBA","PG",44,9,692,102,224,0.455,50,111,0.45,52,113,0.46,0.567,45,54,0.833,9,51,60,67,22,3,36,41,299
423,"Tim Frazier",845059,25,"NOP","NBA","PG",16,1,469,76,169,0.45,13,31,0.419,63,138,0.457,0.488,45,59,0.763,15,56,71,120,23,1,38,42,210
