"Rk","Player","X2015.16","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
10,"Dwyane Wade",2e+07,34,"MIA","NBA","SG",74,73,2258,540,1183,0.456,7,44,0.159,533,1139,0.468,0.459,322,406,0.793,82,220,302,344,79,42,203,116,1409
23,"Wesley Matthews",16400000,29,"DAL","NBA","SG",78,78,2644,331,854,0.388,189,525,0.36,142,329,0.432,0.498,126,146,0.863,27,211,238,151,78,17,78,179,977
26,"James Harden",15756438,26,"HOU","NBA","SG",82,82,3125,710,1617,0.439,236,657,0.359,474,960,0.494,0.512,720,837,0.86,63,438,501,612,139,51,374,229,2376
27,"Eric Gordon",15514031,27,"NOP","NBA","SG",45,44,1481,231,552,0.418,113,294,0.384,118,258,0.457,0.521,111,125,0.888,10,89,99,121,43,14,73,98,686
29,"Klay Thompson",15500000,25,"GSW","NBA","SG",80,80,2666,651,1386,0.47,276,650,0.425,375,736,0.51,0.569,193,221,0.873,35,271,306,166,60,49,138,152,1771
33,"Jimmy Butler",15260000,26,"CHI","NBA","SG",67,67,2474,470,1034,0.455,64,206,0.311,406,828,0.49,0.485,395,475,0.832,79,279,358,321,110,43,132,124,1399
34,"Khris Middleton",1.5e+07,24,"MIL","NBA","SG",79,79,2852,507,1142,0.444,143,361,0.396,364,781,0.466,0.507,277,312,0.888,44,258,302,331,131,19,180,204,1434
57,"Brandon Knight",1.2e+07,24,"PHO","NBA","SG",52,50,1870,371,895,0.415,120,351,0.342,251,544,0.461,0.482,156,183,0.852,36,166,202,263,61,20,177,124,1018
68,"Tyreke Evans",11227000,26,"NOP","NBA","SG",25,25,765,136,314,0.433,33,85,0.388,103,229,0.45,0.486,74,93,0.796,20,109,129,164,32,8,73,66,379
74,"Monta Ellis",10300000,30,"IND","NBA","SG",81,81,2734,436,1021,0.427,87,282,0.309,349,739,0.472,0.47,162,206,0.786,42,229,271,383,150,37,203,174,1121
77,"Danny Green",1e+07,28,"SAS","NBA","SG",79,79,2061,211,561,0.376,116,349,0.332,95,212,0.448,0.48,34,46,0.739,48,255,303,141,79,64,75,141,572
81,"DeMar DeRozan",9500000,26,"TOR","NBA","SG",78,78,2804,614,1377,0.446,47,139,0.338,567,1238,0.458,0.463,555,653,0.85,64,285,349,315,81,21,175,167,1830
83,"Alec Burks",9213484,24,"UTA","NBA","SG",31,3,797,137,334,0.41,32,79,0.405,105,255,0.412,0.458,106,141,0.752,16,93,109,63,18,4,51,71,412
86,"Iman Shumpert",9e+06,25,"CLE","NBA","SG",54,5,1316,114,305,0.374,43,146,0.295,71,159,0.447,0.444,40,51,0.784,32,171,203,92,54,19,57,119,311
96,"Arron Afflalo",8e+06,30,"NYK","NBA","SG",71,57,2371,354,799,0.443,91,238,0.382,263,561,0.469,0.5,110,131,0.84,23,243,266,144,25,10,82,142,909
97,"O.J. Mayo",8e+06,28,"MIL","NBA","SG",41,24,1090,119,321,0.371,52,162,0.321,67,159,0.421,0.452,31,40,0.775,13,92,105,118,48,8,72,126,321
102,"Avery Bradley",7730337,25,"BOS","NBA","SG",76,72,2536,456,1019,0.447,147,407,0.361,309,612,0.505,0.52,96,123,0.78,48,172,220,158,117,19,109,164,1155
107,"Kevin Martin",7085000,32,"SAS","NBA","SG",16,1,261,30,85,0.353,11,33,0.333,19,52,0.365,0.418,28,30,0.933,4,25,29,12,9,2,13,15,99
109,"Cory Joseph",7e+06,24,"TOR","NBA","SG",80,4,2046,257,585,0.439,30,110,0.273,227,475,0.478,0.465,133,174,0.764,39,171,210,250,63,20,102,131,677
112,"Lou Williams",7e+06,29,"LAL","NBA","SG",67,35,1907,283,693,0.408,110,320,0.344,173,373,0.464,0.488,352,424,0.83,31,138,169,167,62,19,107,107,1028
115,"J.J. Redick",6867000,31,"LAC","NBA","SG",75,75,2097,422,880,0.48,200,421,0.475,222,459,0.484,0.593,182,205,0.888,10,129,139,106,42,5,78,135,1226
122,"Marco Belinelli",6333333,29,"SAC","NBA","SG",68,7,1672,245,635,0.386,91,297,0.306,154,338,0.456,0.457,115,138,0.833,10,107,117,127,37,2,80,91,696
125,"Jodie Meeks",6270000,28,"DET","NBA","SG",3,0,43,7,20,0.35,4,9,0.444,3,11,0.273,0.45,4,4,1,1,4,5,3,0,0,1,2,22
127,"Gerald Henderson",6e+06,28,"POR","NBA","SG",72,0,1431,232,529,0.439,48,136,0.353,184,393,0.468,0.484,112,146,0.767,30,181,211,75,39,19,68,87,624
130,"Kyle Korver",5746479,34,"ATL","NBA","SG",80,80,2401,268,616,0.435,158,397,0.398,110,219,0.502,0.563,45,54,0.833,14,246,260,164,60,35,98,161,739
132,"Bradley Beal",5694674,22,"WAS","NBA","SG",55,35,1708,359,799,0.449,105,271,0.387,254,528,0.481,0.515,135,176,0.767,41,147,188,162,54,11,112,117,958
133,"Jamal Crawford",5675000,35,"LAC","NBA","SG",79,5,2126,379,939,0.404,117,344,0.34,262,595,0.44,0.466,245,271,0.904,20,125,145,183,52,12,113,122,1120
134,"Courtney Lee",5675000,30,"CHO","NBA","SG",28,28,845,98,220,0.445,31,79,0.392,67,141,0.475,0.516,23,26,0.885,10,77,87,60,33,12,23,55,250
147,"Nick Young",5219169,30,"LAL","NBA","SG",54,2,1033,126,372,0.339,77,237,0.325,49,135,0.363,0.442,63,76,0.829,14,83,97,34,23,7,30,50,392
149,"Victor Oladipo",5192520,23,"ORL","NBA","SG",72,52,2379,425,970,0.438,98,282,0.348,327,688,0.475,0.489,205,247,0.83,48,297,345,282,116,54,153,174,1153
150,"Tony Allen",5168539,34,"MEM","NBA","SG",64,57,1620,215,469,0.458,15,42,0.357,200,427,0.468,0.474,90,138,0.652,104,192,296,70,110,18,78,175,535
152,"Dion Waiters",5138430,24,"OKC","NBA","SG",78,15,2152,282,706,0.399,86,241,0.357,196,465,0.422,0.46,112,157,0.713,36,166,202,154,81,15,120,143,762
162,"J.R. Smith",5e+06,30,"CLE","NBA","SG",77,77,2362,353,850,0.415,204,510,0.4,149,340,0.438,0.535,45,71,0.634,43,174,217,130,81,21,59,204,955
183,"Vince Carter",4088091,39,"MEM","NBA","SG",60,3,1005,133,343,0.388,59,169,0.349,74,174,0.425,0.474,70,84,0.833,31,115,146,56,38,16,35,101,395
185,"Alan Anderson",4e+06,33,"WAS","NBA","SG",13,0,192,21,59,0.356,12,37,0.324,9,22,0.409,0.458,11,15,0.733,1,26,27,14,4,1,2,25,65
208,"Evan Turner",3425510,27,"BOS","NBA","SG",81,12,2271,343,753,0.456,20,83,0.241,323,670,0.482,0.469,148,179,0.827,50,347,397,359,80,28,169,139,854
212,"Anthony Morrow",3344000,30,"OKC","NBA","SG",68,6,926,136,333,0.408,79,204,0.387,57,129,0.442,0.527,29,39,0.744,10,52,62,24,22,5,17,64,380
214,"Will Barton",3333333,25,"DEN","NBA","SG",82,1,2353,425,983,0.432,112,325,0.345,313,658,0.476,0.489,216,268,0.806,59,417,476,203,71,39,139,147,1178
218,"Randy Foye",3270000,32,"OKC","NBA","SG",27,1,572,52,149,0.349,25,81,0.309,27,68,0.397,0.433,22,27,0.815,8,43,51,49,13,13,28,48,151
219,"Ben McLemore",3156600,22,"SAC","NBA","SG",68,53,1443,195,455,0.429,67,185,0.362,128,270,0.474,0.502,74,103,0.718,34,114,148,79,52,10,99,140,531
